app_id,Topic,Label,Sublabel,app_name,description
113,2,Game,Platform,RobloxStudio,Roblox Studio.?Roblox?is a game creation platform which allows players to create their own games using its proprietary engine
114,2,Game,Platform,Roblox Game Client,Roblox is a massively multiplayer online and game creation system platform that allows users to design their own games and play a wide variety of different types of games created by other users. The platform hosts social network games constructed of Lego-like virtual blocks.
115,2,Game,Platform,Roblox,Roblox is a massively multiplayer online and game creation system platform that allows users to design their own games and play a wide variety of different types of games created by other users. The platform hosts social network games constructed of Lego-like virtual blocks.
116,13,Game,Shooting,RainbowSix,Tom Clancy's Rainbow Six Siege is a tactical shooter video game developed by Ubisoft Montreal and published by Ubisoft. It was released worldwide for Microsoft Windows
119,2,Game,Platform,Pro Evolution Soccer,Pro Evolution Soccer series is a series of association football simulation video games developed and released annually since 2001. It is being developed and published by Konami. It consists of eighteen main installments and several spinoff-style titles and it has seen releases on many different platforms.
120,2,Game,Platform,Plants vs. Zombies,"Plants vs. Zombies?is a?tower defense?video game?developed and originally published by?PopCap Games?for?Microsoft Windows?and?OS X. The game involves homeowners who use a variety of different plants to prevent an army of?zombies?from entering their houses and ""eating their brains""."
123,2,Game,Platform,StarCraft II,StarCraft II: Wings of Liberty is a military science fiction real-time strategy video game developed and published by Blizzard Entertainment. It was released worldwide in July 2010 for Microsoft Windows and Mac OS X.
125,2,Game,Platform,Terraria,Terraria is a 2D action-adventure sandbox video game developed by Re-Logic. The game was initially released for Microsoft Windows in May 2011
126,2,Game,Platform,Subnautica,Subnautica is an open world survival adventure game developed and published by Unknown Worlds Entertainment. It allows the player to freely explore the ocean on an alien planet
127,2,Game,Platform,steam,Steam is a digital distribution platform developed by Valve Corporation for purchasing and playing video games. Steam offers digital rights management
128,2,Game,Platform,Skyrim,The Elder Scrolls V: Skyrim is an action role-playing video game developed by Bethesda Game Studios and published by Bethesda Softworks.
130,2,Game,Platform,NieR:Automata,Nier: Automata is an action role-playing game developed by PlatinumGames and published by Square Enix. The game was released for the PlayStation 4 and Microsoft Windows in early 2017
131,2,Game,Platform,The Evolution Engine,evolution.?Evolution Game Engine. XNA Shader 3D?Game Engine
133,2,Game,Platform,Origin,Origin is an online gaming
134,13,Game,Shooting,Overwatch,Overwatch is a team-based multiplayer first-person shooter video game developed and published by Blizzard Entertainment
135,13,Game,Shooting,Paladins,Paladins: Champions of the Realm is a free-to-play online shooter video game by Hi-Rez Studios. The game was developed by Evil Mojo Games
137,2,Game,Platform,The Sims,The Sims is a series of life simulation video games that was developed by Maxis and The Sims Studio and published by Electronic Arts. The franchise has sold nearly 200 million copies worldwide
138,13,Game,Shooting,The Witcher,The Witcher is a Polish-American fantasy drama series produced by Lauren Schmidt Hissrich. It is based on the book series of the same name by Polish writer Andrzej Sapkowski
139,2,Game,Platform,Fallout,Fallout is a series of post-apocalyptic role-playing video games created by Interplay Entertainment
