,app_id,Topic,Label,Sublabel,,
26,2,7,Browser,Browser,avg secure browser,AVG?Secure?Browser?can be installed along with?AVG?Internet Security/AntiVirus free. This cannot be installed as a standalone product. When you install?AVG?AntiVirus
54,3,7,Browser,Browser,qq browser,QQ Browser is a free web browser for the Android
16,4,16,Productivity,Download,Xunlei,The Xunlei download manager
199,7,5,Productivity,Adobe,yandex,Yandex N.V. is a Russian multinational corporation specializing in Internet-related products and services
114,9,7,Browser,Browser,qq browser live up,QQ Browser is a free web browser for the Android
252,10,7,Browser,Browser,Plugin Container for Firefox,Plugin Container for Firefox has stopped working. Plugin Container in Mozilla Firefox browser (plugin-container.exe) is a feature developed to avoid crashes caused by plugins.
61,11,7,Browser,Browser,Opera,Opera is a web browser for Windows
68,12,7,Browser,Browser,Avast Browser,Avast Secure Browser is a web browser developed by Avast Software that focuses on Internet security. It is based on Chromium
4,13,7,Browser,Browser,Chrome browser,Google Chrome is a freeware web browser developed by Google LLC. It was first released on September 2
35,14,4,Open-source,Open-source,firefox browser,Mozilla Firefox is a free and open-source web browser developed by The Mozilla Foundation and its subsidiary
141,15,12,Productivity,Storage,browser broker,Browser_broker.exe is a type of EXE file associated with Windows 10 Operating System developed by Microsoft Corporation for the Windows Operating System. The latest known version of Browser_broker.exe is 11.0.10240.16384
10,16,7,Browser,Browser,internet explorer,Internet Explorer is a series of graphical web browsers developed by Microsoft and included in the Microsoft Windows line of operating systems
235,17,7,Browser,Browser,Maxthon,Maxthon is a freeware web browser developed by the company Maxthon Ltd.
8,18,7,Browser,Browser,Microsoft Edge,Microsoft Edge is a graphical web browser developed by Microsoft and included in Windows 10
272,20,11,Productivity,Client,VDI,Desktop virtualization is software technology that separates the desktop environment and associated application software from the physical client device that is used to access it.
139,21,11,Productivity,Client,Skype for business,Skype for Business is an instant messaging client used with Skype for Business Server or with Skype for Business Online. Skype for Business is enterprise software. On 11 November 2014
249,22,14,Graphic,Image,GoToAssist,GoToAssist is a cloud-based toolset for IT support teams and customer support organizations. Since 2012
155,23,18,Design,CAD,Mind Master,MindMeister is an online mind mapping application that allows its users to visualize
28,24,13,Streaming,Streaming,Zoom,Zoom Video Communications is a company headquartered in San Jose
213,26,13,Streaming,Streaming,Viber,Viber is a cross-platform instant messaging and voice over IP application operated by Japanese multinational company Rakuten
63,27,1,Software,Software,Team Viewer,TeamViewer is proprietary computer software for remote control
59,28,15,Productivity,Office,Slack,Slack is a cloud-based set of proprietary team collaboration tools and services
163,29,11,Productivity,Client,Citrix Connection Manager,Remote?Connections?(Citrix) Introduction.?Citrix?is a remote client that lets you to use Windows apps from any device. The apps run on the EWS cloud server
108,30,13,Streaming,Streaming,Ding Talk,DingTalk is an enterprise communication and collaboration platform Developed by Alibaba Group. It was founded in 2014. By 2018 it was one of the world's largest professional communication and management mobile app in China with over 100 million users. International market intentions were announced in 2018.?
85,31,11,Productivity,Client,Citrix Receiver,Citrix Receiver is the client component of XenDesktop and XenApp
184,32,1,Software,Software,GoTo Opener,"About the?GoTo Opener. GoToMeeting uses a ""helper"" application to launch you into active sessions. ... When you install the GoToMeeting software"
58,34,1,Software,Software,Adobe Connect,Adobe Connect is software used to create information and general presentations
99,36,1,Software,Software,Nitro pdf,Nitro Software
33,37,6,Graphic,Video,Paint,Microsoft Paint is a simple raster graphics editor that has been included with all versions of Microsoft Windows. The program opens and saves files in Windows bitmap
23,38,4,Open-source,Open-source,Microsoft PDF Reader,PDF Reader is a free
31,41,16,Productivity,Download,Microsoft Outlook Calendar,Calendar is the calendar and scheduling component of Outlook that is fully integrated with email
12,42,15,Productivity,Office,Microsoft Outlook,Outlook.com is a web-based suite of webmail
172,43,12,Productivity,Storage,pdf converter,PDF Converter is a online web-based document to PDF converter software. Convert and create PDF from various types of files like Word DOC
41,44,5,Productivity,Adobe,Remote Desktop Connection,Remote Desktop?Services (RDS)
